#,id,resource_id,at_date_time,active_energy_outlet,active_effect_outlet,active_energy_input,active_effect_input,phase_current1,phase_current2,phase_current3
1,3905661,2252,2024-11-04 00:00:00.000000,0.205,2.5,0,0,9.87,1.35,0.88
2,3903877,2252,2024-11-03 23:55:00.000000,0.218,2.6,0,0,9.78,1.89,0.84
3,3903876,2252,2024-11-03 23:50:00.000000,0.207,2.47,0,0,9.77,1.4,0.83
4,3903875,2252,2024-11-03 23:45:00.000000,0.221,2.63,0,0,9.94,1.8,0.81
5,3903874,2252,2024-11-03 23:40:00.000000,0.229,2.81,0,0,10.37,2.09,0.93
6,3903873,2252,2024-11-03 23:35:00.000000,0.211,2.53,0,0,10.11,1.28,0.87
7,3903872,2252,2024-11-03 23:30:00.000000,0.222,2.64,0,0,10.09,1.79,0.86
8,3903871,2252,2024-11-03 23:25:00.000000,0.216,2.62,0,0,10.12,1.53,0.98
9,3903870,2252,2024-11-03 23:20:00.000000,0.226,2.79,0,0,10.5,1.79,1.06
10,3903869,2252,2024-11-03 23:15:00.000000,0.207,2.49,0,0,9.62,1.82,0.69
11,3903868,2252,2024-11-03 23:10:00.000000,0.192,2.32,0,0,9.48,1.32,0.64
12,3903867,2252,2024-11-03 23:05:00.000000,0.188,2.27,0,0,9.43,1.37,0.55
13,3903866,2252,2024-11-03 23:00:00.000000,0.2,2.42,0,0,9.63,1.78,0.52
14,3902070,2252,2024-11-03 22:55:00.000000,0.193,2.32,0,0,9.69,1.21,0.69
15,3902069,2252,2024-11-03 22:50:00.000000,0.229,2.77,0,0,10.33,1.69,1.26
16,3902068,2252,2024-11-03 22:45:00.000000,0.262,3.12,0,0,10.9,2.3,1.65
17,3902067,2252,2024-11-03 22:40:00.000000,0.255,3.06,0,0,11.13,1.92,1.62
18,3902066,2252,2024-11-03 22:35:00.000000,0.257,3.09,0,0,10.86,2.29,1.64
19,3902065,2252,2024-11-03 22:30:00.000000,0.255,3.11,0,0,10.95,2.5,1.55
20,3902064,2252,2024-11-03 22:25:00.000000,0.237,2.82,0,0,10.54,1.74,1.48
21,3902063,2252,2024-11-03 22:20:00.000000,0.24,2.91,0,0,10.54,1.95,1.56
22,3902062,2252,2024-11-03 22:15:00.000000,0.245,2.96,0,0,10.56,2.15,1.58
23,3902061,2252,2024-11-03 22:10:00.000000,0.188,2.23,0,0,9.84,1.18,0.57
24,3902060,2252,2024-11-03 22:05:00.000000,0.203,2.44,0,0,10.29,1.52,0.51
25,3902059,2252,2024-11-03 22:00:00.000000,0.214,2.61,0,0,10.42,2.04,0.66
26,3900267,2252,2024-11-03 21:55:00.000000,0.189,2.28,0,0,10.17,0.93,0.65
27,3900266,2252,2024-11-03 21:50:00.000000,0.2,2.37,0,0,10.13,1.38,0.58
28,3900265,2252,2024-11-03 21:45:00.000000,0.192,2.29,0,0,9.89,1.27,0.61
29,3900264,2252,2024-11-03 21:40:00.000000,0.184,2.25,0,0,9.94,0.99,0.67
30,3900263,2252,2024-11-03 21:35:00.000000,0.211,2.56,0,0,10.33,2.1,0.51
31,3900262,2252,2024-11-03 21:30:00.000000,0.189,2.25,0,0,9.88,1.11,0.6
32,3900261,2252,2024-11-03 21:25:00.000000,0.195,2.35,0,0,9.89,1.51,0.65
33,3900260,2252,2024-11-03 21:20:00.000000,0.192,2.32,0,0,9.95,1.31,0.66
34,3900259,2252,2024-11-03 21:15:00.000000,0.213,2.58,0,0,10.17,1.29,1.57
35,3900258,2252,2024-11-03 21:10:00.000000,0.211,2.54,0,0,10.25,1.92,0.6
36,3900257,2252,2024-11-03 21:05:00.000000,0.209,2.56,0,0,10.44,1.85,0.61
37,3900256,2252,2024-11-03 21:00:00.000000,0.207,2.5,0,0,10.18,1.78,0.66
38,3898469,2252,2024-11-03 20:55:00.000000,0.206,2.44,0,0,9.93,1.9,0.6
39,3898468,2252,2024-11-03 20:50:00.000000,0.196,2.36,0,0,9.98,1.52,0.66
40,3898467,2252,2024-11-03 20:45:00.000000,0.285,3.41,0,0,9.97,5.57,0.81
41,3898466,2252,2024-11-03 20:40:00.000000,0.385,4.63,0,0,10.14,10.63,0.55
42,3898465,2252,2024-11-03 20:35:00.000000,0.373,4.46,0,0,9.97,10.13,0.57
43,3898464,2252,2024-11-03 20:30:00.000000,0.37,4.49,0,0,10.12,10.11,0.65
44,3898463,2252,2024-11-03 20:25:00.000000,0.213,2.56,0,0,10.16,2.1,0.58
45,3898462,2252,2024-11-03 20:20:00.000000,0.199,2.4,0,0,10.21,1.45,0.65
46,3898461,2252,2024-11-03 20:15:00.000000,0.208,2.5,0,0,10.2,1.77,0.61
47,3898460,2252,2024-11-03 20:10:00.000000,0.207,2.46,0,0,10.11,1.9,0.57
48,3898459,2252,2024-11-03 20:05:00.000000,0.206,2.46,0,0,10.01,1.97,0.62
49,3898458,2252,2024-11-03 20:00:00.000000,0.223,2.69,0,0,9.9,2.51,0.98
50,3896666,2252,2024-11-03 19:55:00.000000,0.21,2.49,0,0,9.82,2.21,0.55
51,3896665,2252,2024-11-03 19:50:00.000000,0.204,2.45,0,0,9.85,2.09,0.6
52,3896664,2252,2024-11-03 19:45:00.000000,0.213,2.58,0,0,9.9,2.32,0.74
53,3896663,2252,2024-11-03 19:40:00.000000,0.208,2.46,0,0,10,1.97,0.59
54,3896662,2252,2024-11-03 19:35:00.000000,0.261,3.06,0,0,10.91,2.75,1.18
55,3896661,2252,2024-11-03 19:30:00.000000,0.28,3.38,0,0,11.14,3.17,1.67
56,3896660,2252,2024-11-03 19:25:00.000000,0.271,3.22,0,0,11.05,2.77,1.58
57,3896659,2252,2024-11-03 19:20:00.000000,0.27,3.22,0,0,10.78,3.05,1.59
58,3896658,2252,2024-11-03 19:15:00.000000,0.259,3.13,0,0,10.61,2.82,1.65
59,3896657,2252,2024-11-03 19:10:00.000000,0.252,3.03,0,0,10.6,2.52,1.5
60,3896656,2252,2024-11-03 19:05:00.000000,0.27,3.26,0,0,10.99,3.24,1.44
61,3896655,2252,2024-11-03 19:00:00.000000,0.261,3.17,0,0,10.71,2.81,1.68
62,3894872,2252,2024-11-03 18:55:00.000000,0.295,3.5,0,0,10.61,4.37,1.62
63,3894871,2252,2024-11-03 18:50:00.000000,0.426,5.08,0,0,10.83,10.69,1.71
64,3894870,2252,2024-11-03 18:45:00.000000,0.404,4.88,0,0,10.89,9.58,1.87
65,3894869,2252,2024-11-03 18:40:00.000000,0.265,3.19,0,0,10.92,2.66,1.62
66,3894868,2252,2024-11-03 18:35:00.000000,0.231,2.82,0,0,10.58,2.56,0.85
67,3894867,2252,2024-11-03 18:30:00.000000,0.209,2.45,0,0,10.04,1.68,0.85
68,3894866,2252,2024-11-03 18:25:00.000000,0.204,2.47,0,0,9.96,1.74,0.85
69,3894865,2252,2024-11-03 18:20:00.000000,0.206,2.46,0,0,9.93,1.96,0.6
